"id","autname"
1,"Hofstadter`s Law"
2,"Noelie Altito"
3,"Scott`s Law"
4,"Shaw`s Principle"
5,"Adolf Hitler"
6,"G.B. Shaw"
7,"Heller`s Law"
8,"Fingle`s Creed"
9,"Oscar Wilde"
10,"Albert Einstein"
11,"Van Roy`s Law"
12,"Groucho Marx"
13,"Bradley`s Bromide"
14,"Carl Zwanzig"
15,"Joseph Heller"
16,"Evelyn Beatrice Hall"
17,"Lewis Carroll"
18,"Alexander Dumas"
19,"Aristophanes"
20,"Socrates"
21,"Euripides"
22,"Benjamin Disraeli"
23,"Thomas Huxley"
