Inner London	Outer London	North East	North West	Yorkshire Humberside	East Midlands	West Midlands	East Anglia	South East	South West
105598.9	92659.7	44245.7	46308.6	46763.0	50771.3	55163.2	66899.1	79976.2	64148.1
106182.5	93334.1	43509.8	45834.3	46887.5	50386.4	55108.6	66739.4	80218.2	63962.5
107682.6	93594.3	44786.0	46317.9	46612.0	50540.5	55160.5	66988.6	81184.8	64869.7
109590.9	94308.9	45039.0	47646.5	47370.2	51973.2	56192.2	68584.7	83176.3	66257.6
111454.4	95435.2	45168.7	48397.7	47866.2	52333.9	56858.0	69688.2	83992.9	67017.7
112766.3	96769.9	45962.2	48056.3	47773.7	52423.4	57403.8	70045.4	85018.6	66735.7
113759.5	97823.4	45788.6	48450.7	48581.5	52958.9	57718.1	70958.1	85994.0	68712.1
114672.8	98880.5	46569.4	48135.9	48736.2	53434.8	58324.3	71126.3	86861.8	68912.9
115106.3	99535.3	46510.1	48319.0	48049.7	53101.0	57765.8	71680.4	86722.9	68213.2
114098.1	99984.2	45548.5	48095.0	48181.8	52901.7	57780.8	71562.6	86847.1	68126.5
114076.4	100090.6	45474.8	48075.5	47122.4	52670.9	57647.4	71198.3	86952.3	68951.5
114075.4	100181.1	45995.2	48397.3	47926.4	53105.9	57831.7	71284.7	86784.4	68368.0
115389.6	100251.3	45466.8	47592.9	47586.1	53061.8	58274.5	71965.7	87345.5	69447.6
116440.0	100206.6	43968.8	47473.9	47549.6	52648.3	57669.7	72027.4	87443.4	69380.1
117767.9	100839.0	45504.8	48068.2	48108.0	53554.5	58333.1	71939.1	88023.7	70923.9
119428.5	101970.2	46042.1	49399.8	48461.8	55437.9	59151.8	73544.6	89753.7	71530.8
122126.5	103585.7	46172.1	50009.9	49527.6	54991.2	59886.4	74290.7	90801.5	72521.0
124651.8	105280.7	47671.4	50187.2	49894.0	55273.2	60903.8	75804.3	92488.6	73631.7
128244.4	107178.5	47752.6	50872.7	49765.7	56563.5	61658.4	77158.4	94135.2	74975.9
132053.2	109341.5	47712.6	51335.0	50607.8	57137.5	62498.7	78190.5	96537.7	75893.9
136916.6	111539.8	47739.6	51541.5	50388.2	57223.4	62541.8	79917.3	99136.7	78103.4
138875.7	113560.2	48970.3	51421.2	50401.9	57458.7	63172.2	80391.2	99999.1	78979.1
140531.1	115975.7	48693.6	51780.4	50931.6	58295.8	63408.3	82173.1	101397.1	79881.8
141875.0	117975.0	48298.2	52055.9	50654.3	58360.4	63943.6	83819.4	103345.8	81209.8
144574.8	120342.8	47603.6	51177.3	50488.9	58080.0	63832.9	84191.7	104357.9	81381.3
148048.8	122037.5	47757.3	50975.3	50579.1	58574.7	64136.9	83988.8	104721.0	82595.3
150487.9	124002.5	48678.0	52419.0	50734.7	59227.7	64648.3	85921.1	107765.0	84214.5
155672.1	126506.0	49463.2	53611.9	52507.6	60888.8	66675.6	89205.7	111947.0	86912.0
157869.6	129534.0	49780.0	53589.6	52979.5	61430.5	67270.0	91171.8	113099.4	88140.6
161868.7	132156.4	49003.0	53453.2	53615.3	62425.4	68165.3	91593.1	115639.5	89406.5
163858.3	133951.1	50415.6	54299.3	54064.7	63473.9	68916.0	93780.6	116597.0	91213.6
167258.1	135431.0	50701.6	55001.0	54180.7	64054.7	69835.4	95081.6	118742.9	92257.9
