Alcaraz,Paraguay,defender,390,1,172,13,0
Barreto,Paraguay,midfielder,111,2,38,3,0
Barrios,Paraguay,forward,308,6,89,2,0
Benitez,Paraguay,forward,83,2,25,2,0
Bonet,Paraguay,midfielder,300,0,108,4,0
Caniza,Paraguay,defender,90,4,44,1,0
Cardozo,Paraguay,forward,204,3,53,2,0
Caceres,Paraguay,defender,90,0,71,0,0
Caceres,Paraguay,midfielder,354,1,170,17,0
Da Silva,Paraguay,defender,480,1,235,11,0
Morel Rodriguez,Paraguay,defender,480,1,202,7,0
Ortigoza,Paraguay,midfielder,75,0,60,5,0
Riveros,Paraguay,midfielder,480,5,236,22,0
Santa Cruz,Paraguay,forward,312,6,134,1,0
Santana,Paraguay,midfielder,120,2,28,7,0
Torres,Paraguay,defender,82,2,29,1,0
Valdez,Paraguay,forward,337,8,57,9,0
Vera,Paraguay,midfielder,414,5,138,14,0
Veruen,Paraguay,defender,90,0,26,3,0
Villar,Paraguay,goalkeeper,480,0,99,0,10
Almeida,Portugal,forward,136,5,42,3,0
Amorim,Portugal,midfielder,5,1,7,0,0
Bruno Alves,Portugal,defender,360,1,166,5,0
Carvalho,Portugal,defender,360,2,173,11,0
Danny,Portugal,forward,176,1,62,7,0
Deco,Portugal,midfielder,62,0,45,1,0
Duda,Portugal,defender,70,0,18,2,0
Eduardo,Portugal,goalkeeper,360,0,51,0,17
Ferreira,Portugal,defender,90,0,37,1,0
Fabio Coentrao,Portugal,defender,360,1,152,13,0
Liedson,Portugal,forward,121,4,27,2,0
Meireles,Portugal,midfielder,329,6,154,9,0
Mendes,Portugal,midfielder,224,0,117,9,0
Miguel,Portugal,defender,90,1,52,2,0
Pepe,Portugal,midfielder,136,1,43,3,0
Ricardo Costa,Portugal,defender,179,0,44,9,0
Ronaldo,Portugal,forward,360,18,91,3,0
Simao,Portugal,midfielder,217,2,76,7,0
Tiago,Portugal,midfielder,298,6,155,15,0
Veloso,Portugal,midfielder,26,1,30,1,0
Ivanovic,Serbia,defender,270,3,115,2,0
Jovanovic,Serbia,midfielder,245,4,65,2,0
Kacar,Serbia,midfielder,20,1,7,1,0
Kolarov,Serbia,defender,180,2,46,8,0
Krasic,Serbia,midfielder,242,3,60,2,0
Kuzmanovic,Serbia,midfielder,180,4,103,1,0
Lazovic,Serbia,forward,44,1,14,0,0
Lukovic,Serbia,defender,164,1,98,6,0
Milijas,Serbia,midfielder,62,0,35,3,0
Ninkovic,Serbia,midfielder,160,1,91,2,0
Obradovic,Serbia,defender,90,1,42,2,0
Pantelic,Serbia,forward,113,3,24,1,0
Petrovic,Serbia,midfielder,15,1,3,1,0
Stankovic,Serbia,midfielder,270,3,165,5,0
Stojkovic,Serbia,goalkeeper,270,0,52,0,7
Subotic,Serbia,defender,104,0,49,3,0
Tosic,Serbia,midfielder,28,3,9,0,0
Vidic,Serbia,defender,270,2,158,7,0
Zigic,Serbia,forward,227,5,65,2,0
Cech,Slovakia,defender,90,0,35,2,0
Durica,Slovakia,defender,360,1,159,4,0
Hamsik,Slovakia,midfielder,358,5,143,3,0
Holosko,Slovakia,forward,29,0,11,1,0
Jakubko,Slovakia,forward,2,0,1,0,0
Jendrisek,Slovakia,forward,250,3,55,4,0
Kopunek,Slovakia,midfielder,22,1,17,0,0
Kozak,Slovakia,midfielder,90,0,66,3,0
Kucka,Slovakia,midfielder,181,4,71,10,0
Mucha,Slovakia,goalkeeper,360,0,85,0,14
Pekaruek,Slovakia,defender,270,0,93,8,0
Petras,Slovakia,defender,1,0,0,0,0
Salata,Slovakia,defender,83,1,40,2,0
Sapara,Slovakia,midfielder,2,0,5,0,0
Sestak,Slovakia,forward,152,3,27,1,0
Skrtel,Slovakia,defender,360,0,202,4,0
Stoch,Slovakia,midfielder,193,2,76,1,0
Strba,Slovakia,midfielder,267,2,137,5,0
Vittek,Slovakia,forward,353,10,118,0,0
Weiss,Slovakia,midfielder,269,2,84,2,0
Zabavnuek,Slovakia,defender,268,1,94,8,0
Birsa,Slovenia,midfielder,261,6,61,5,0
Brecko,Slovenia,defender,270,1,95,5,0
Cesar,Slovenia,defender,270,1,89,2,0
Dedic,Slovenia,forward,84,0,22,1,0
Handanovic,Slovenia,goalkeeper,270,0,66,0,13
Jokic,Slovenia,defender,270,0,109,10,0
Kirm,Slovenia,midfielder,259,1,88,4,0
Komac,Slovenia,midfielder,4,0,3,1,0
Koren,Slovenia,midfielder,270,3,162,3,0
Ljubijankic,Slovenia,forward,173,2,36,2,0
Matavz,Slovenia,forward,11,0,4,0,0
Novakovic,Slovenia,forward,270,2,68,1,0
Pecnik,Slovenia,forward,21,0,4,1,0
Radosavljevic,Slovenia,midfielder,267,1,129,6,0
Suler,Slovenia,defender,270,0,102,5,0
Dikgacoi,South Africa,midfielder,180,2,108,4,0
Josephs,South Africa,goalkeeper,101,0,20,0,3
Khuboni,South Africa,midfielder,78,1,48,1,0
Khumalo,South Africa,defender,270,2,74,4,0
Khune,South Africa,goalkeeper,166,1,24,0,4
Letsholonyane,South Africa,midfielder,147,0,89,6,0
Masilela,South Africa,defender,225,0,107,6,0
Modise,South Africa,midfielder,192,5,111,4,0
Mokoena,South Africa,defender,270,0,83,5,0
Moriri,South Africa,midfielder,33,0,22,0,0
Mphela,South Africa,forward,270,10,60,2,0
Ngongca,South Africa,defender,55,0,21,1,0
Nomvete,South Africa,forward,22,0,5,1,0
Pa Gaxa,South Africa,defender,215,1,95,2,0
