id	autname
1	Anonymous
2	Hofstadter`s Law
3	Noelie Altito
4	Scott`s Law
5	Shaw`s Principle
6	Adolf Hitler
7	George Bernard Shaw
8	Heller`s Law
9	Fingle`s Creed
10	Oscar Wilde
11	Albert Einstein
12	Van Roy`s Law
13	Groucho Marx
14	Bradley`s Bromide
15	Carl Zwanzig
16	Joseph Heller
17	Evelyn Beatrice Hall
18	Oscar Wilde
19	Lewis Carroll
20	Alexander Dumas
21	Aristophanes
22	Scocrates
23	Euripides
24	Benjamin Disraeli
25	Thomas Huxley
