date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-18,74.9749,75.608,74.966,75.2335,2531473,2531473,0.3121,0.417,75.2287,"Feb 18, 14",0
2014-02-19,75.1444,75.9558,74.8858,74.9125,3115854,3115854,-0.321014,-0.427,75.6838,"Feb 19, 14",-0.0042667162899507815
2014-02-20,75.0641,75.2335,74.3418,74.7342,2083547,2083547,-0.178344,-0.238,74.6636,"Feb 20, 14",-0.006636671163776843
2014-02-21,74.8323,75.0017,74.3418,74.7163,1895287,1895287,-0.017833,-0.024,74.7502,"Feb 21, 14",-0.006874597087733556
2014-02-24,74.752,75.2514,74.3686,74.4042,2163173,2163173,-0.3121,-0.418,74.7976,"Feb 24, 14",-0.011023015013258766
2014-02-25,74.2883,74.4042,73.6106,74.3151,2681959,2681959,-0.089169,-0.12,74.1191,"Feb 25, 14",-0.012207327852618919
2014-02-26,74.3686,74.6361,74.0208,74.3953,2157050,2157050,0.080254,0.108,74.2955,"Feb 26, 14",-0.01114131337768415
2014-02-27,74.2616,74.7788,74.0966,74.7698,1585301,1585301,0.374516,0.503,74.5281,"Feb 27, 14",-0.006163477706075124
2014-02-28,74.6539,75.0819,74.4488,74.7609,2286989,2286989,-0.008916,-0.012,74.8089,"Feb 28, 14",-0.006281776070500507
2014-03-03,74.4132,74.7431,73.6552,74.1724,1728597,1728597,-0.58853,-0.787,73.9685,"Mar 3, 14",-0.01410408926874345
2014-03-04,75.0463,75.3405,74.7342,75.0017,1864934,1864934,0.82929,1.118,75.0181,"Mar 4, 14",-0.0030810742554846825
2014-03-05,74.9482,75.2603,74.5647,75.2335,2582903,2582903,0.231846,0.309,74.9892,"Mar 5, 14",0
2014-03-06,75.2963,75.8255,75.1259,75.7089,1922290,1922290,0.4754,0.632,75.5966,"Mar 6, 14",0.006318993533465721
2014-03-07,76.005,76.1216,75.09,75.2873,2733721,2733721,-0.421601,-0.557,75.4692,"Mar 7, 14",0.0007151069669760865
2014-03-10,75.081,75.2514,74.7581,75.1528,1954413,1954413,-0.134552,-0.179,75.0619,"Mar 10, 14",-0.0010726604504643186
2014-03-11,75.4757,75.5116,74.7581,74.9734,1859035,1859035,-0.179406,-0.239,75.068,"Mar 11, 14",-0.0034572364704554275
2014-03-12,74.5876,75.1079,74.4531,74.8388,1758486,1758486,-0.134554,-0.179,74.835,"Mar 12, 14",-0.0052463330830015914
2014-03-13,75.0631,75.2236,74.0136,74.0853,2120999,2120999,-0.753502,-1.007,73.5502,"Mar 13, 14",-0.0152618182059854
2014-03-14,74.0853,74.3096,73.8431,74.1481,2074411,2074411,0.062791,0.085,74.1077,"Mar 14, 14",-0.014427083679477985
2014-03-17,74.6415,75.1528,74.2737,74.9375,2758611,2758611,0.789384,1.065,74.8422,"Mar 17, 14",-0.003934417513474801
2014-03-18,75.072,75.5654,74.7778,75.3053,2141059,2141059,0.367781,0.491,75.3195,"Mar 18, 14",0.0009543620860387471
2014-03-19,75.3412,75.5654,74.2827,74.6325,2526472,2526472,-0.67277,-0.893,73.4899,"Mar 19, 14",-0.007988462586480933
