date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-18,67.9927,69.01,67.928,68.2794,5538437,5538437,0.286694,0.422,68.5394,"Feb 18, 14",0
2014-02-19,68.0205,68.7233,67.9003,68.0205,3926547,3926547,-0.25895,-0.379,68.2157,"Feb 19, 14",-0.003791773214175828
2014-02-20,68.0667,68.5384,67.7245,67.9557,4134029,4134029,-0.064736,-0.095,68.114,"Feb 20, 14",-0.00474081494564982
2014-02-21,67.9095,68.5291,67.8263,68.2609,4561973,4561973,0.305189,0.449,68.21,"Feb 21, 14",-0.0002709455560533464
2014-02-24,68.5661,70.9984,68.4366,70.2955,9569735,9569735,2.0346,2.981,70.3142,"Feb 24, 14",0.02952720732753962
2014-02-25,70.2678,70.4158,69.4817,69.6574,3762240,3762240,-0.638122,-0.908,71.1737,"Feb 25, 14",0.02018178249955331
2014-02-26,69.6667,70.4019,69.158,70.3418,5433154,5433154,0.684365,0.982,70.0457,"Feb 26, 14",0.03020530350296006
2014-02-27,70.0828,70.6655,69.9164,70.3048,4227261,4227261,-0.036994,-0.053,70.2855,"Feb 27, 14",0.02966341239085295
2014-02-28,70.3233,71.8677,70.1013,71.4608,6176557,6176557,1.156,1.644,71.3204,"Feb 28, 14",0.04659384821776423
2014-03-03,70.9337,71.6365,70.7764,71.3036,3673405,3673405,-0.157218,-0.22,71.1881,"Mar 3, 14",0.044291543276595985
2014-03-04,71.8955,72.6631,71.7105,72.2562,5171180,5171180,0.952564,1.336,72.373,"Mar 4, 14",0.05824304255749189
2014-03-05,72.3764,72.5983,71.7475,72.1267,3934324,3934324,-0.129476,-0.179,72.0217,"Mar 5, 14",0.05634642366511722
2014-03-06,72.2746,72.4504,71.7198,71.803,4200499,4200499,-0.323686,-0.449,71.9752,"Mar 6, 14",0.05160560871946739
2014-03-07,72.1452,72.2007,71.2481,71.581,3434762,3434762,-0.221957,-0.309,71.5413,"Mar 7, 14",0.048354262046825365
2014-03-10,71.4701,72.0434,71.3128,72.0249,2986435,2986435,0.443911,0.62,71.8147,"Mar 10, 14",0.054855490821536325
2014-03-11,72.0527,72.5521,71.692,71.9325,3471320,3471320,-0.092482,-0.128,72.0281,"Mar 11, 14",0.05350222761184207
2014-03-12,71.7283,72.1181,71.6819,72.0253,2875361,2875361,0.092824,0.129,71.9399,"Mar 12, 14",0.05486134910382936
2014-03-13,72.1738,72.4894,71.4313,71.4777,3178656,3178656,-0.547615,-0.76,67.1468,"Mar 13, 14",0.04684136064464543
2014-03-14,71.487,71.487,70.2154,70.2618,5128657,5128657,-1.2159,-1.701,70.6028,"Mar 14, 14",0.029033647044350103
2014-03-17,70.6702,71.487,70.6238,71.2456,3517946,3517946,0.983852,1.4,71.2174,"Mar 17, 14",0.043442092344103796
2014-03-18,71.4405,72.443,71.2549,72.3966,3670775,3670775,1.1509,1.615,72.2606,"Mar 18, 14",0.06029929964235203
2014-03-19,72.4615,74.5313,72.3409,74.2157,9060088,9060088,1.8192,2.513,72.6601,"Mar 19, 14",0.08694130294056485
2014-03-20,73.863,75.7287,73.7238,75.673,7786538,7786538,1.4572,1.963,75.3587,"Mar 20, 14",0.10828448990471513
2014-03-21,76.2855,77.3344,75.4595,75.4966,11828107,11828107,-0.176351,-0.233,74.1577,"Mar 21, 14",0.10570098741348058
2014-03-24,75.7843,75.8493,75.0511,75.4409,5306212,5306212,-0.055688,-0.074,75.3095,"Mar 24, 14",0.1048852216041735
2014-03-25,75.7287,76.2484,75.1625,75.2739,4590186,4590186,-0.16707,-0.221,75.5401,"Mar 25, 14",0.10243938874682558
2014-03-26,75.6266,76.3876,75.246,75.6822,6909988,6909988,0.408393,0.543,75.7353,"Mar 26, 14",0.10841923039745516
2014-03-27,75.7194,76.0164,74.9768,75.1996,5453852,5453852,-0.482646,-0.638,74.6905,"Mar 27, 14",0.10135121281089185
2014-03-28,75.5523,76.434,75.4224,75.7565,4787407,4787407,0.556895,0.741,75.8633,"Mar 28, 14",0.1095074063333891
2014-03-31,76.1834,76.3598,75.5616,76.0999,3513665,3513665,0.343421,0.453,76.0066,"Mar 31, 14",0.11453674168197157
