date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-18,21.3856,21.4809,21.2816,21.4636,17749250,17749250,0.004338,0.02,21.4221,"Feb 18, 14",0
2014-02-19,21.3682,21.4289,21.1689,21.2382,25743616,25743616,-0.225387,-1.05,21.2927,"Feb 19, 14",-0.010501500214316353
2014-02-20,21.2729,21.5416,21.2382,21.4463,20230664,20230664,0.208049,0.98,21.4495,"Feb 20, 14",-0.0008060157662274158
2014-02-21,21.6283,21.637,21.1082,21.1689,30617671,30617671,-0.277397,-1.293,21.3065,"Feb 21, 14",-0.013730222329898007
2014-02-24,21.2469,21.5676,21.1602,21.3509,24173569,24173569,0.182039,0.86,21.4273,"Feb 24, 14",-0.005250750107158177
2014-02-25,21.3856,21.4203,21.2035,21.3422,21613463,21613463,-0.008666,-0.041,21.2968,"Feb 25, 14",-0.00565608751560788
2014-02-26,21.4463,21.6543,21.3336,21.4983,19820163,19820163,0.156036,0.731,21.5476,"Feb 26, 14",0.0016166905831268214
2014-02-27,21.4983,21.4983,21.2469,21.4636,20866873,20866873,-0.034674,-0.161,21.3625,"Feb 27, 14",0
2014-02-28,21.4896,21.5373,21.2989,21.4636,23483725,23483725,0,0,21.4391,"Feb 28, 14",0
2014-03-03,21.2816,21.3162,21.0648,21.2382,25727231,25727231,-0.225387,-1.05,21.1992,"Mar 3, 14",-0.010501500214316353
2014-03-04,21.4289,21.4809,21.2382,21.3336,23714667,23714667,0.095355,0.449,21.3355,"Mar 4, 14",-0.0060567658733855926
2014-03-05,21.4116,21.4203,21.1515,21.2382,21071351,21071351,-0.095355,-0.447,21.2607,"Mar 5, 14",-0.010501500214316353
2014-03-06,21.2989,21.3682,21.1342,21.3509,22416271,22416271,0.112691,0.531,21.2774,"Mar 6, 14",-0.005250750107158177
2014-03-07,21.4116,21.5417,21.2989,21.3596,25380925,25380925,0.008672,0.041,21.4113,"Mar 7, 14",-0.004845412698708474
2014-03-10,21.3334,21.5763,21.3076,21.533,24945279,24945279,0.173372,0.812,21.4885,"Mar 10, 14",0.003233381166253643
2014-03-11,21.4809,21.5425,21.3336,21.4376,26695627,26695627,-0.095356,-0.443,21.6361,"Mar 11, 14",-0.0012113531746771186
2014-03-12,21.3682,21.5676,21.3336,21.4636,21259016,21259016,0.026008,0.121,21.4566,"Mar 12, 14",0
2014-03-13,21.4983,21.6673,21.1775,21.2989,26243253,26243253,-0.164706,-0.767,21.3631,"Mar 13, 14",-0.007673456456512414
2014-03-14,21.2209,21.3639,21.1515,21.2382,21807232,21807232,-0.060681,-0.285,21.2965,"Mar 14, 14",-0.010501500214316353
2014-03-17,21.3596,21.5156,21.2295,21.4116,18525794,18525794,0.173374,0.816,21.4196,"Mar 17, 14",-0.002422706349354237
2014-03-18,21.3943,21.585,21.2816,21.5156,26344019,26344019,0.104023,0.486,21.4872,"Mar 18, 14",0.002422706349354237
2014-03-19,21.5416,21.8884,21.4764,21.689,34229423,34229423,0.173373,0.806,21.404,"Mar 19, 14",0.010501500214316353
2014-03-20,21.6717,22.1831,21.6196,22.0401,37009068,37009068,0.351082,1.619,21.9973,"Mar 20, 14",0.026859427123129363
2014-03-21,22.2004,22.2611,21.8104,21.819,56864569,56864569,-0.22105,-1.003,15.2367,"Mar 21, 14",0.016558266087701945
2014-03-24,21.8537,22.0011,21.6023,21.7757,36951569,36951569,-0.043342,-0.199,21.7853,"Mar 24, 14",0.014540897146797412
2014-03-25,21.8364,22.2525,21.819,22.0704,32317416,32317416,0.294733,1.353,22.0792,"Mar 25, 14",0.02827111947669542
2014-03-26,22.1831,22.3131,21.949,21.9986,26442817,26442817,-0.071778,-0.325,22.1024,"Mar 26, 14",0.024925921094317828
2014-03-27,21.9837,22.3218,21.923,21.9404,27209145,27209145,-0.058255,-0.265,21.9649,"Mar 27, 14",0.022214353603309825
2014-03-28,22.0271,22.3738,21.949,22.2091,22884455,22884455,0.268732,1.225,22.2167,"Mar 28, 14",0.03473322275853071
2014-03-31,22.2351,22.5905,22.2091,22.3773,29336281,29336281,0.168171,0.757,22.4403,"Mar 31, 14",0.04256974598855747
2014-04-01,22.3651,22.5385,22.2264,22.5298,23779846,23779846,0.152567,0.682,22.4368,"Apr 1, 14",0.04967479826310601
2014-04-02,22.5038,22.5819,22.2264,22.4432,22374400,22374400,-0.086688,-0.385,22.3681,"Apr 2, 14",0.04564006038129677
2014-04-03,22.6685,22.9373,22.6599,22.8939,38581278,38581278,0.450775,2.009,22.8263,"Apr 3, 14",0.06663840175925749
2014-04-04,22.9633,23.1713,22.6295,22.6772,47918021,47918021,-0.216718,-0.947,22.8641,"Apr 4, 14",0.05654223895339084
2014-04-07,22.7986,23.18,22.7119,22.959,49813483,49813483,0.281733,1.242,23.0464,"Apr 7, 14",0.0696714437466222
2014-04-08,22.8506,23.388,22.8419,23.3274,56699485,56699485,0.368417,1.605,23.2646,"Apr 8, 14",0.08683538642166277
2014-04-09,23.3447,23.4227,23.1713,23.388,34481773,34481773,0.060678,0.26,23.2993,"Apr 9, 14",0.0896587711287949
2014-04-10,23.4141,23.4834,22.8506,22.9069,40478238,40478238,-0.481108,-2.057,23.0901,"Apr 10, 14",0.06724407834659613
2014-04-11,22.7726,23.05,22.6859,22.6945,36126904,36126904,-0.212472,-0.928,22.8159,"Apr 11, 14",0.05734825471961842
2014-04-14,22.8072,23.102,22.6599,23.024,26958006,26958006,0.329498,1.452,22.9508,"Apr 14, 14",0.07269982668331507
2014-04-15,22.9806,23.258,22.8506,23.206,45074434,45074434,0.182044,0.791,23.2203,"Apr 15, 14",0.0811792989060549
2014-04-16,23.388,23.6134,23.0543,23.3447,59037351,59037351,0.138696,0.598,25.6968,"Apr 16, 14",0.0876414021878902
2014-04-17,23.3014,23.5398,23.2233,23.4401,38112609,38112609,0.095354,0.408,23.4262,"Apr 17, 14",0.09208613652882096
2014-04-21,23.4487,23.4487,23.1713,23.362,20399688,20399688,-0.078016,-0.333,23.3286,"Apr 21, 14",0.08844741795411762
2014-04-22,23.3274,23.388,23.1106,23.2667,29602313,29602313,-0.095358,-0.408,23.2232,"Apr 22, 14",0.08400734266385884
2014-04-23,23.232,23.3794,23.1627,23.1887,25581417,25581417,-0.078015,-0.335,23.2402,"Apr 23, 14",0.08037328313982749
2014-04-24,23.2407,23.3707,23.0933,23.1887,25432837,25432837,0,0,23.2592,"Apr 24, 14",0.08037328313982749
2014-04-25,23.102,23.1627,22.6989,22.7639,33617211,33617211,-0.424767,-1.832,22.8188,"Apr 25, 14",0.0605816358858719
2014-04-28,22.6859,22.8766,22.5472,22.8246,33472820,33472820,0.060681,0.267,22.7456,"Apr 28, 14",0.06340967964367583
2014-04-29,22.8506,23.1063,22.8419,22.9546,22146001,22146001,0.130031,0.57,22.9801,"Apr 29, 14",0.06946644551706142
2014-04-30,22.8159,23.1453,22.7292,23.1367,25863926,25863926,0.182043,0.793,23.0528,"Apr 30, 14",0.07795057679047325
2014-05-01,22.9806,23.1193,22.8766,22.9286,19755249,19755249,-0.208047,-0.899,22.9706,"May 1, 14",0.0682550923423843
2014-05-02,23.024,23.0933,22.8853,22.8939,24236459,24236459,-0.034674,-0.151,22.9737,"May 2, 14",0.06663840175925749
2014-05-05,22.8721,22.9595,22.7235,22.8808,20738950,20738950,-0.013104,-0.057,22.8587,"May 5, 14",0.06602806612124719
2014-05-06,22.8721,23.0644,22.7322,22.9071,21818282,21818282,0.026228,0.115,23.2629,"May 6, 14",0.06725339644793978
2014-05-07,22.9595,23.1256,22.9245,23.0557,24693262,24693262,0.148634,0.649,23.024,"May 7, 14",0.07417674574628684
2014-05-08,23.012,23.1956,22.9245,23.0295,24168530,24168530,-0.026231,-0.114,23.0492,"May 8, 14",0.0729560744702659
2014-05-09,23.0557,23.0907,22.9245,22.9945,20324413,20324413,-0.034969,-0.152,22.9914,"May 9, 14",0.07132540673512361
2014-05-12,23.0907,23.2043,22.9945,23.0557,20607769,20607769,0.0612,0.266,23.0883,"May 12, 14",0.07417674574628684
2014-05-13,23.1606,23.2043,23.0207,23.1256,20524972,20524972,0.069945,0.303,23.1475,"May 13, 14",0.07743342216589943
2014-05-14,23.1606,23.1868,23.0207,23.0207,17811913,17811913,-0.10492,-0.454,23.0941,"May 14, 14",0.07254607801114454
2014-05-15,23.0207,23.1694,22.7409,22.7409,31752745,31752745,-0.279779,-1.215,22.8516,"May 15, 14",0.059510054231349835
2014-05-16,22.7759,22.7934,22.5049,22.5748,30017576,30017576,-0.166121,-0.73,22.6015,"May 16, 14",0.05177137106543172
2014-05-19,22.5136,22.8109,22.5136,22.7672,22680849,22680849,0.192353,0.852,22.679,"May 19, 14",0.06073538455804243
2014-05-20,22.7497,22.8808,22.6229,22.7672,22293213,22293213,0,0,22.7338,"May 20, 14",0.06073538455804243
2014-05-21,22.8196,22.9508,22.7322,22.9071,18721592,18721592,0.139888,0.614,22.8747,"May 21, 14",0.06725339644793978
2014-05-22,22.9158,22.9683,22.8021,22.8633,15926522,15926522,-0.043715,-0.191,22.8795,"May 22, 14",0.06521273225367596
2014-05-23,22.8633,22.9945,22.8546,22.9849,17178021,17178021,0.121531,0.532,22.966,"May 23, 14",0.07087813787062748
2014-05-27,23.0207,23.3792,22.8896,23.353,27271940,27271940,0.368084,1.601,23.299,"May 27, 14",0.08802810339365261
2014-05-28,23.3442,23.5541,23.3092,23.5016,27150171,27150171,0.148636,0.636,24.7285,"May 28, 14",0.09495145269199949
