date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-18,47.2877,47.8914,47.2106,47.6902,11201287,11201287,0.21409,0.451,47.7118,"Feb 18, 14",0
2014-02-19,47.4761,47.6645,47.0907,47.1336,10297100,10297100,-0.556631,-1.167,47.361,"Feb 19, 14",-0.011671160951306474
2014-02-20,47.1935,47.9556,47.125,47.7929,10133452,10133452,0.659392,1.399,47.6736,"Feb 20, 14",0.0021534822667970735
2014-02-21,47.8272,48.2468,47.8015,47.9813,11666583,11666583,0.188397,0.394,48.0287,"Feb 21, 14",0.006103979433929825
2014-02-24,47.8443,48.7435,47.8443,48.1098,11012522,11012522,0.128453,0.268,48.3312,"Feb 24, 14",0.008798453351002987
2014-02-25,48.067,48.2896,47.7844,47.8786,8515916,8515916,-0.231214,-0.481,48.0079,"Feb 25, 14",0.003950497167132901
2014-02-26,47.9556,48.341,47.8871,48.1869,10139579,10139579,0.308287,0.644,49.1104,"Feb 26, 14",0.010415137701246885
2014-02-27,48.1612,48.5294,47.9557,48.5208,9055465,9055465,0.333976,0.693,48.3148,"Feb 27, 14",0.017416576151913894
2014-02-28,48.5808,49.2016,48.5123,48.8034,11887592,11887592,0.282594,0.582,48.9093,"Feb 28, 14",0.023342321902613247
2014-03-03,48.0413,48.615,47.9128,48.3153,9821842,9821842,-0.48812,-1,48.103,"Mar 3, 14",0.013107514751458441
2014-03-04,48.8463,49.146,48.7349,48.8634,10996055,10996055,0.548067,1.134,48.9364,"Mar 4, 14",0.02460044201953444
2014-03-05,49.1545,49.1888,48.401,48.7092,9048109,9048109,-0.154143,-0.315,48.6719,"Mar 5, 14",0.021367073319046796
2014-03-06,48.8634,49.3686,48.8206,49.0347,10605733,10605733,0.32541,0.668,49.1273,"Mar 6, 14",0.028192374953344788
2014-03-07,49.1117,49.3001,48.8976,49.2145,10634294,10634294,0.179837,0.367,49.1556,"Mar 7, 14",0.03196254157038561
2014-03-10,49.1888,49.3429,48.812,49.086,7383294,7383294,-0.128455,-0.261,49.0324,"Mar 10, 14",0.029268067653312448
2014-03-11,49.1545,49.1888,48.4438,48.5465,10885694,10885694,-0.5395,-1.099,48.6861,"Mar 11, 14",0.017955470935328528
2014-03-12,48.2896,48.7521,48.1783,48.6493,9499235,9499235,0.102761,0.212,48.5514,"Mar 12, 14",0.02011105006898691
2014-03-13,48.8564,49.0118,48.0883,48.1487,10120002,10120002,-0.500564,-1.029,44.9518,"Mar 13, 14",0.009614134560140255
2014-03-14,47.9243,48.3472,47.7,48.0711,12117827,12117827,-0.077674,-0.161,48.1248,"Mar 14, 14",0.00798696587558878
2014-03-17,48.2868,48.7183,48.2868,48.5544,9509414,9509414,0.483301,1.005,49.1302,"Mar 17, 14",0.018121123417389817
2014-03-18,48.5975,48.8133,48.4681,48.6407,7070853,7070853,0.086302,0.178,48.6348,"Mar 18, 14",0.01993071951889498
2014-03-19,48.9168,49.1153,48.0193,48.3213,10048366,10048366,-0.319321,-0.656,47.4101,"Mar 19, 14",0.013233326763150576
2014-03-20,48.1832,48.2264,47.7345,47.9761,8460953,8460953,-0.345216,-0.714,47.9174,"Mar 20, 14",0.005994942357130085
2014-03-21,48.7615,48.8478,47.139,47.1735,23424864,23424864,-0.802625,-1.673,44.9295,"Mar 21, 14",-0.010834511073553899
2014-03-24,47.3461,47.3461,46.2328,46.414,15502018,15502018,-0.759469,-1.61,46.5982,"Mar 24, 14",-0.026760214886915882
2014-03-25,46.5003,47.8812,46.4399,47.6309,14115683,14115683,1.2169,2.622,47.3896,"Mar 25, 14",-0.0012434420488905552
2014-03-26,47.838,48.727,47.8035,48.3472,13076140,13076140,0.71632,1.504,48.2597,"Mar 26, 14",0.013776415280288268
2014-03-27,48.235,48.4249,47.7517,48.0969,11123826,11123826,-0.25028,-0.518,47.6935,"Mar 27, 14",0.008527957525864868
2014-03-28,48.5112,49.1585,48.1315,48.3127,8960283,8960283,0.21576,0.449,48.6349,"Mar 28, 14",0.013052996213058497
2014-03-31,48.4076,49.0549,48.3645,48.9945,14181509,14181509,0.681798,1.411,48.8691,"Mar 31, 14",0.02734943447500755
2014-04-01,48.8909,49.0549,48.3386,48.6493,7715399,7715399,-0.345216,-0.705,48.6346,"Apr 1, 14",0.02011105006898691
2014-04-02,48.7442,48.8133,48.3731,48.727,7059965,7059965,0.077676,0.16,48.6389,"Apr 2, 14",0.021740315620399988
2014-04-03,48.7874,48.9772,48.2825,48.5112,8320944,8320944,-0.215761,-0.443,48.5014,"Apr 3, 14",0.01721527693320651
2014-04-04,48.8564,48.9514,48.4076,48.4335,10413019,10413019,-0.077672,-0.16,48.6804,"Apr 4, 14",0.015586011381793429
2014-04-07,47.7863,48.4681,47.4928,47.6309,11432452,11432452,-0.802625,-1.657,47.869,"Apr 7, 14",-0.0012434420488905552
2014-04-08,47.7086,47.9934,47.208,47.5015,10766930,10766930,-0.129453,-0.272,47.5584,"Apr 8, 14",-0.003956787767717418
2014-04-09,47.6568,49.3225,47.6395,49.2793,16115561,16115561,1.7779,3.743,48.8571,"Apr 9, 14",0.03332131129666057
2014-04-10,49.9611,50.1769,48.1401,48.2005,18025980,18025980,-1.0788,-2.189,48.8009,"Apr 10, 14",0.010700311594415642
2014-04-11,47.9416,48.8435,47.7258,48.2609,13631945,13631945,0.060409,0.125,48.3855,"Apr 11, 14",0.01196681917878311
2014-04-14,48.5198,48.96,47.4238,47.9589,10787639,10787639,-0.302062,-0.626,48.1914,"Apr 14, 14",0.005634281256945926
2014-04-15,48.1487,48.5975,47.5619,48.3731,11142923,11142923,0.414258,0.864,48.1004,"Apr 15, 14",0.014319503797425963
2014-04-16,48.7183,49.1498,48.2696,48.5544,9635546,9635546,0.18124,0.375,48.6219,"Apr 16, 14",0.018121123417389817
2014-04-17,48.7183,49.193,48.5629,48.7356,11263810,11263810,0.181233,0.373,48.7954,"Apr 17, 14",0.021920646170492067
2014-04-21,48.8133,49.4519,48.6752,49.4088,6234019,6234019,0.673173,1.381,49.2125,"Apr 21, 14",0.03603675388234904
2014-04-22,49.2707,50.3322,49.2103,49.8575,13978503,13978503,0.448774,0.908,49.939,"Apr 22, 14",0.04544539549005885
2014-04-23,49.8403,49.8575,49.2577,49.6245,7736306,7736306,-0.233018,-0.467,49.5397,"Apr 23, 14",0.040559695702681066
2014-04-24,49.4692,49.9007,49.0635,49.6504,6714791,6714791,0.025893,0.052,49.6262,"Apr 24, 14",0.04110278421981876
2014-04-25,49.6504,49.7841,49.212,49.4001,6228255,6228255,-0.250281,-0.504,49.4377,"Apr 25, 14",0.035854326465395506
2014-04-28,49.7195,49.9266,48.7442,48.9168,16992210,16992210,-0.4833,-0.978,49.2121,"Apr 28, 14",0.025720168923594466
2014-04-29,49.6245,50.7982,49.426,50.6774,13661520,13661520,1.7606,3.599,50.5766,"Apr 29, 14",0.0626376068877883
2014-04-30,50.4962,50.9191,50.0733,50.5393,13564049,13564049,-0.138084,-0.272,50.448,"Apr 30, 14",0.059741833752007756
2014-05-01,50.5307,51.644,50.5307,51.4542,11724492,11724492,0.914814,1.81,51.2363,"May 1, 14",0.07892606866819604
2014-05-02,51.3247,51.3765,50.0043,50.2459,12079563,12079563,-1.2082,-2.348,50.4041,"May 2, 14",0.05358962638026265
2014-05-05,50.151,50.6343,49.8403,50.5997,8135021,8135021,0.353842,0.704,50.2485,"May 5, 14",0.06100834133637522
2014-05-06,50.7033,50.7206,49.2275,49.2879,13838391,13838391,-1.3118,-2.593,50.1694,"May 6, 14",0.03350164184675265
2014-05-07,48.4939,49.0635,47.9157,48.1919,22910169,22910169,-1.0961,-2.224,48.3552,"May 7, 14",0.010519981044323563
2014-05-08,47.9416,48.1228,47.2253,47.3202,14372328,14372328,-0.871664,-1.809,47.5859,"May 8, 14",-0.0077584073876812735
2014-05-09,47.5532,48.0797,46.9491,47.6482,12385096,12385096,0.327954,0.693,47.4876,"May 9, 14",-0.0008806840818447918
2014-05-12,48.002,48.002,47.3332,47.7172,8084979,8084979,0.069043,0.145,47.6423,"May 12, 14",0.0005661540526146048
2014-05-13,47.7345,48.3817,47.6395,48.1142,8959034,8959034,0.396995,0.832,49.0638,"May 13, 14",0.008890715492910484
2014-05-14,48.0106,48.8133,48.0106,48.6493,7797701,7797701,0.535081,1.112,48.6126,"May 14, 14",0.02011105006898691
2014-05-15,48.166,48.8392,47.9071,48.235,8918501,8918501,-0.414256,-0.852,48.2816,"May 15, 14",0.011423730661645416
2014-05-16,48.0365,48.5544,48.0365,48.2178,9062020,9062020,-0.01726,-0.036,48.2228,"May 16, 14",0.011063069561461258
2014-05-19,48.1056,48.645,48.002,48.632,7519293,7519293,0.414257,0.859,48.5101,"May 19, 14",0.019748292101941293
2014-05-20,48.5198,48.5544,48.0969,48.33,7861263,7861263,-0.302064,-0.621,48.3094,"May 20, 14",0.01341575418010411
2014-05-21,48.5026,48.865,48.4422,48.8305,6650942,6650942,0.500562,1.036,48.8091,"May 21, 14",0.023910572822089308
2014-05-22,48.6752,49.0031,48.3645,48.7529,7178038,7178038,-0.077674,-0.159,48.7351,"May 22, 14",0.022283404137537682
2014-05-23,48.8737,49.1757,48.7183,49.029,6059875,6059875,0.276174,0.566,49.0449,"May 23, 14",0.02807285354223732
2014-05-27,49.1326,49.2275,48.7356,48.9255,7301768,7301768,-0.103566,-0.211,48.9266,"May 27, 14",0.025902596340548003
2014-05-28,48.9427,48.96,48.6752,48.6752,6843148,6843148,-0.250279,-0.512,48.8477,"May 28, 14",0.020654138586124603
2014-05-29,49.1153,49.8748,48.8478,49.7971,8513741,8513741,1.1219,2.305,49.5148,"May 29, 14",0.04417888790569138
2014-05-30,49.6418,50.2891,49.6418,49.9352,11517975,11517975,0.138086,0.277,50.0276,"May 30, 14",0.047074661041471934
2014-06-02,49.9784,50.2286,49.6073,49.9956,6426226,6426226,0.060414,0.121,49.8881,"Jun 2, 14",0.0483411686258394
2014-06-03,49.6418,50.0215,49.5123,49.9784,7078096,7078096,-0.017262,-0.035,49.8948,"Jun 3, 14",0.04798050752565524
2014-06-04,49.8662,50.0647,49.6331,49.9956,6882016,6882016,0.017262,0.035,49.9555,"Jun 4, 14",0.0483411686258394
2014-06-05,50.0301,50.4617,49.8144,50.1423,7640710,7640710,0.146715,0.293,50.1848,"Jun 5, 14",0.05141727231171187
2014-06-06,50.2286,50.2804,49.7799,49.9266,6703225,6703225,-0.21576,-0.43,50.2354,"Jun 6, 14",0.04689433049137985
2014-06-09,49.6159,50.0301,49.4001,50.0043,8083098,8083098,0.077673,0.156,49.8537,"Jun 9, 14",0.04852359604279293
2014-06-10,49.987,50.4876,49.987,50.4789,7663748,7663748,0.47467,0.949,50.2725,"Jun 10, 14",0.05847532616764044
2014-06-11,50.5048,50.945,50.4013,50.7551,11697135,11697135,0.276172,0.547,51.271,"Jun 11, 14",0.06426687243920139
2014-06-12,50.6769,51.0594,50.4864,50.6942,9563877,9563877,-0.060856,-0.12,50.7323,"Jun 12, 14",0.06298988052052634
2014-06-13,50.529,50.9986,50.416,50.6421,8398525,8398525,-0.052169,-0.103,50.7046,"Jun 13, 14",0.06189741288566628
2014-06-16,50.4855,50.7638,50.1986,50.4942,7731464,7731464,-0.147825,-0.292,50.466,"Jun 16, 14",0.05879614679745529
2014-06-17,50.3899,50.6203,50.2421,50.4855,6266710,6266710,-0.008696,-0.017,50.4609,"Jun 17, 14",0.05861371938050176
2014-06-18,50.4595,50.8247,50.2682,50.7899,7837250,7837250,0.304342,0.603,50.5638,"Jun 18, 14",0.06499658210701582
2014-06-19,50.7986,50.7986,50.5162,50.6942,6012926,6012926,-0.095652,-0.188,50.6698,"Jun 19, 14",0.06298988052052634
2014-06-20,50.9638,51.5464,50.816,51.2334,14418039,14418039,0.539116,1.063,51.4055,"Jun 20, 14",0.07429618663792574
2014-06-23,51.1377,51.2855,50.7899,50.8681,7054412,7054412,-0.365206,-0.713,50.9808,"Jun 23, 14",0.06663633199273648
2014-06-24,50.7638,51.0942,50.329,50.3638,8158525,8158525,-0.504335,-0.991,50.6261,"Jun 24, 14",0.056061832410012974
2014-06-25,50.1986,51.5812,50.1899,51.1812,13274299,13274299,0.817371,1.623,51.2164,"Jun 25, 14",0.07320162213620408
2014-06-26,51.0942,51.1029,50.6507,50.8942,7238577,7238577,-0.286949,-0.561,50.827,"Jun 26, 14",0.06718361424359723
2014-06-27,50.7551,50.889,49.9769,50.0247,17286475,17286475,-0.869542,-1.709,53.2326,"Jun 27, 14",0.04895135688254622
2014-06-30,50.0943,50.6073,50.0247,50.303,8735023,8735023,0.278256,0.556,50.5213,"Jun 30, 14",0.05478693735819938
2014-07-01,50.1725,50.9899,49.9812,50.8768,8843199,8843199,0.573897,1.141,50.8425,"Jul 1, 14",0.06681875940969016
2014-07-02,50.8421,51.3899,50.7551,51.3464,6941072,6941072,0.469549,0.923,51.2328,"Jul 2, 14",0.07666564619146084
