date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-18,36.9669,36.9908,36.1555,36.5771,34926654,34926654,-0.421616,-1.14,36.6591,"Feb 18, 14",0
2014-02-19,36.3862,37.2613,36.243,37.0147,34111008,34111008,0.437526,1.196,36.7683,"Feb 19, 14",0.01196376968102983
2014-02-20,37.2374,38.4545,37.1897,38.2795,48976883,48976883,1.2648,3.417,38.1724,"Feb 20, 14",0.04654278223259901
2014-02-21,37.826,38.3829,37.5318,37.6033,60839123,60839123,-0.676176,-1.766,37.8751,"Feb 21, 14",0.028055805408301798
2014-02-24,37.4045,37.5477,36.776,36.776,618237630,618237630,-0.827322,-2.2,37.1176,"Feb 24, 14",0.0054378285867387475
2014-02-25,36.9272,37.1976,36.7442,36.8238,146504915,146504915,0.047731,0.13,36.9069,"Feb 25, 14",0.006744657176211264
2014-02-26,36.6647,36.9908,36.5016,36.8715,102723889,102723889,0.047729,0.13,36.7787,"Feb 26, 14",0.008048751814659883
2014-02-27,36.8635,38.0091,36.8158,37.7863,139461810,139461810,0.914829,2.481,37.4628,"Feb 27, 14",0.033058935782224276
2014-02-28,37.7465,37.9931,37.5556,37.85,62319916,62319916,0.063638,0.168,37.7901,"Feb 28, 14",0.034800462584513255
2014-03-03,37.6272,37.9295,37.2454,37.6352,60289074,60289074,-0.214783,-0.567,37.3454,"Mar 3, 14",0.02892793578495824
2014-03-04,37.8181,38.4943,37.7624,38.1045,52246922,52246922,0.469346,1.247,38.1096,"Mar 4, 14",0.041758367940596716
2014-03-05,38.0409,38.0806,37.659,37.6909,40213212,40213212,-0.413663,-1.086,37.8902,"Mar 5, 14",0.030450746505327038
2014-03-06,37.7545,37.8102,37.5874,37.7545,30899185,30899185,0.06364,0.169,38.0558,"Mar 6, 14",0.032189539356591926
2014-03-07,37.7147,37.7306,37.2772,37.5079,41090539,41090539,-0.246606,-0.653,37.4702,"Mar 7, 14",0.025447616131404564
2014-03-10,37.2215,37.4363,36.9908,37.4124,32385865,32385865,-0.095459,-0.255,37.2423,"Mar 10, 14",0.022836692903483235
2014-03-11,37.1738,37.2215,36.8794,37.1499,42641029,42641029,-0.262517,-0.702,37.0623,"Mar 11, 14",0.01566007146547979
2014-03-12,37.0465,37.0783,36.6965,36.8794,45524204,45524204,-0.270471,-0.728,36.8726,"Mar 12, 14",0.008264733945555972
2014-03-13,36.8715,37.0385,36.5612,36.6169,35184160,35184160,-0.262515,-0.712,35.1901,"Mar 13, 14",0.001088112507552529
2014-03-14,36.4658,36.8078,36.4578,36.6567,27874530,27874530,0.039777,0.109,36.636,"Mar 14, 14",0.002176225015105058
2014-03-17,36.7681,37.0067,36.6726,36.8397,26394937,26394937,0.182964,0.499,36.859,"Mar 17, 14",0.007179355389027535
2014-03-18,36.8476,37.1897,36.7522,37.1499,26373700,26373700,0.310245,0.842,37.0433,"Mar 18, 14",0.01566007146547979
2014-03-19,37.0942,37.3806,36.7442,36.8794,35065228,35065228,-0.270471,-0.728,36.0779,"Mar 19, 14",0.008264733945555972
2014-03-20,36.9192,37.5874,36.7999,37.5556,31613427,31613427,0.676178,1.833,37.3199,"Mar 20, 14",0.02675171076985318
2014-03-21,37.6272,37.7147,37.1499,37.317,38892248,38892248,-0.238651,-0.635,36.4057,"Mar 21, 14",0.020228503626585997
2014-03-24,37.2374,37.4681,36.8954,37.3965,34926056,34926056,0.079551,0.213,37.1825,"Mar 24, 14",0.022401994690667157
2014-03-25,37.4045,37.6749,37.2056,37.5636,23581834,23581834,0.167057,0.447,37.4389,"Mar 25, 14",0.026970426851773362
2014-03-26,37.7068,37.9136,37.3965,37.3965,24384774,24384774,-0.167057,-0.445,37.5675,"Mar 26, 14",0.022401994690667157
2014-03-27,37.3727,37.9454,37.3647,37.9375,32560040,32560040,0.540938,1.446,37.4944,"Mar 27, 14",0.037192669730514404
2014-03-28,37.8897,38.1284,37.5079,37.7227,25700265,25700265,-0.214785,-0.566,37.7949,"Mar 28, 14",0.03132014293095958
2014-03-31,37.9136,38.0488,37.7863,37.842,20744092,20744092,0.119326,0.316,37.8796,"Mar 31, 14",0.034581746502593075
2014-04-01,37.8181,38.0091,37.5477,37.9852,19712827,19712827,0.14319,0.378,37.8251,"Apr 1, 14",0.03849676436896302
2014-04-02,37.9136,38.3273,37.8897,38.0409,25154901,25154901,0.055687,0.147,38.1399,"Apr 2, 14",0.04001957508933182
2014-04-03,38.1363,38.3193,37.8738,38.2795,19320865,19320865,0.23865,0.627,38.1578,"Apr 3, 14",0.04654278223259901
2014-04-04,38.3909,38.4625,38.1522,38.2159,20776403,20776403,-0.063638,-0.166,38.2736,"Apr 4, 14",0.04480398938133412
2014-04-07,37.9454,38.4426,37.9375,38.2795,30359546,30359546,0.063638,0.167,38.1792,"Apr 7, 14",0.04654278223259901
2014-04-08,38.3439,38.7943,38.2272,38.7782,36508243,36508243,0.498698,1.303,38.567,"Apr 8, 14",0.060176995989293755
2014-04-09,38.746,38.7541,38.2232,38.5932,30318456,30318456,-0.185003,-0.477,38.4885,"Apr 9, 14",0.05511918659489138
2014-04-10,38.376,38.9793,38.142,38.183,33518266,33518266,-0.410224,-1.063,38.4288,"Apr 10, 14",0.04390451949443773
2014-04-11,38.0865,38.1589,37.821,37.8612,25824660,25824660,-0.321744,-0.843,37.9636,"Apr 11, 14",0.03510666509920128
2014-04-14,38.0141,38.0704,37.6682,38.0221,19034015,19034015,0.160873,0.425,37.8681,"Apr 14, 14",0.0395055922968196
2014-04-15,38.0141,38.0543,37.6159,37.7406,20922980,20922980,-0.281529,-0.74,37.7673,"Apr 15, 14",0.03180952016425575
2014-04-16,37.8291,37.9336,37.5636,37.8854,18851273,18851273,0.144785,0.384,37.7749,"Apr 16, 14",0.03576828124700962
2014-04-17,37.7004,38.368,37.7004,38.2876,23242122,23242122,0.402182,1.062,38.2034,"Apr 17, 14",0.04676423226554309
2014-04-21,38.4243,38.6093,38.4082,38.5932,13280841,13280841,0.305657,0.798,38.5341,"Apr 21, 14",0.05511918659489138
2014-04-22,38.6013,38.9069,38.4082,38.545,20830294,20830294,-0.048265,-0.125,38.6801,"Apr 22, 14",0.05380142220132269
2014-04-23,38.0463,38.3439,37.6039,38.1508,38239710,38239710,-0.394134,-1.023,38.1454,"Apr 23, 14",0.043024187264709204
2014-04-24,38.1267,38.1991,37.0569,37.2258,41610870,41610870,-0.925014,-2.425,37.3541,"Apr 24, 14",0.017735140292696742
