date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-18,65.9532,66.093,65.4069,65.8134,5994299,5994299,-0.401883,-0.607,65.7473,"Feb 18, 14",0
2014-02-19,65.5339,65.8047,65.0097,65.3941,8145148,8145148,-0.419363,-0.637,65.3819,"Feb 19, 14",-0.00637104297908947
2014-02-20,63.8215,64.6514,63.6118,64.2321,13103284,13103284,-1.162,-1.777,64.1623,"Feb 20, 14",-0.024027021852692593
2014-02-21,63.9438,64.1272,63.6205,63.8826,8971032,8971032,-0.349469,-0.544,63.8824,"Feb 21, 14",-0.029337490541439963
2014-02-24,63.9875,64.4898,63.9001,64.0836,7326672,7326672,0.200947,0.315,64.1811,"Feb 24, 14",-0.026283401252632402
2014-02-25,63.935,64.4243,63.8564,64.0836,9500619,9500619,0,0,64.2671,"Feb 25, 14",-0.026283401252632402
2014-02-26,64.599,65.6125,64.468,65.3329,9027834,9027834,1.2493,1.95,65.1777,"Feb 26, 14",-0.007300944792397997
2014-02-27,65.3329,65.3329,64.7302,65.1407,5456591,5456591,-0.192207,-0.294,65.0287,"Feb 27, 14",-0.010221322709357153
2014-02-28,65.0708,65.6911,64.8262,65.263,7445309,7445309,0.122314,0.188,65.3379,"Feb 28, 14",-0.008363038530147299
2014-03-03,65.0795,65.2368,64.4986,64.7563,5347575,5347575,-0.506726,-0.776,64.2418,"Mar 3, 14",-0.016062078543275463
2014-03-04,65.3242,65.9532,65.2281,65.6387,7549037,7549037,0.882404,1.363,65.6341,"Mar 4, 14",-0.002654474620669976
2014-03-05,65.8047,65.8134,65.1582,65.3504,5526031,5526031,-0.28831,-0.439,65.3954,"Mar 5, 14",-0.007035041496108818
2014-03-06,65.4028,65.6212,65.097,65.4203,5107196,5107196,0.069893,0.107,65.3939,"Mar 6, 14",-0.005972947758359301
2014-03-07,65.9127,65.9127,65.3895,65.5785,5054617,5054617,0.158255,0.242,65.5837,"Mar 7, 14",-0.0035691819599047627
2014-03-10,65.5258,65.5961,65.1125,65.4466,4844541,4844541,-0.131893,-0.201,65.2911,"Mar 10, 14",-0.005573333090221714
2014-03-11,65.7016,65.9215,65.2444,65.8775,9036284,9036284,0.43086,0.658,65.8444,"Mar 11, 14",0.000973965788122119
2014-03-12,65.8116,66.6073,65.7896,66.4139,8637988,8637988,0.536375,0.814,66.3196,"Mar 12, 14",0.009124281681238118
2014-03-13,66.5721,66.9854,65.8687,65.8863,5824463,5824463,-0.527583,-0.794,63.3589,"Mar 13, 14",0.0011076771599705254
2014-03-14,65.6577,66.0094,65.3059,65.3147,6619016,6619016,-0.571547,-0.867,65.5327,"Mar 14, 14",-0.007577484220538666
2014-03-17,65.3323,65.8159,65.0773,65.6665,5783947,5783947,0.351722,0.539,65.5604,"Mar 17, 14",-0.0022320682414219938
2014-03-18,65.6489,65.939,65.4642,65.7456,3943802,3943802,0.079135,0.121,65.7489,"Mar 18, 14",-0.0010301853421948329
2014-03-19,65.5609,66.0446,65.0861,65.4027,5761073,5761073,-0.342925,-0.522,63.7687,"Mar 19, 14",-0.006240370502055897
2014-03-20,65.0861,66.5458,64.9454,66.282,8637512,8637512,0.879302,1.344,66.0143,"Mar 20, 14",0.007120130550921165
2014-03-21,66.7304,67.724,66.3435,66.9151,17180931,17180931,0.633099,0.955,64.8255,"Mar 21, 14",0.01673975208696092
2014-03-24,67.0118,67.5306,66.9239,67.4954,7279659,7279659,0.580344,0.867,67.2973,"Mar 24, 14",0.0255571053919111
2014-03-25,67.6009,67.8296,66.9678,67.5921,7389784,7389784,0.096722,0.143,67.4459,"Mar 25, 14",0.02702641103483486
2014-03-26,67.7768,68.1681,67.0294,67.0294,7736520,7736520,-0.562754,-0.833,67.4293,"Mar 26, 14",0.018476480473581275
2014-03-27,67.1613,67.5481,66.8623,66.9502,5596634,5596634,-0.079138,-0.118,66.9664,"Mar 27, 14",0.017273078126946697
2014-03-28,67.0558,67.3503,66.625,66.8359,5871101,5871101,-0.11431,-0.171,67.0783,"Mar 28, 14",0.015536349740326343
