date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-18,152.71,153.3936,151.993,152.7183,4435484,4435484,-0.416831,-0.272,152.9369,"Feb 18, 14",0
2014-02-19,152.3432,154.7691,152.0681,152.5182,4671705,4671705,-0.200081,-0.131,153.4067,"Feb 19, 14",-0.001310255548942019
2014-02-20,152.5266,154.1105,152.3849,153.6103,4968267,4968267,1.0921,0.716,157.3363,"Feb 20, 14",0.005840819338612307
2014-02-21,153.602,154.8192,152.2431,152.3849,5699331,5699331,-1.2255,-0.798,153.1534,"Feb 21, 14",-0.002183104447862579
2014-02-24,152.4099,154.3606,152.4099,152.9351,4595312,4595312,0.550218,0.361,153.5422,"Feb 24, 14",0.0014196072114475234
2014-02-25,152.9934,153.8938,152.4599,152.7517,3902332,3902332,-0.183406,-0.12,152.9323,"Feb 25, 14",0.00021870332501082267
2014-02-26,153.3436,154.4607,153.0268,153.4436,3740884,3740884,0.691937,0.453,153.8465,"Feb 26, 14",0.004749267114681111
2014-02-27,153.2519,155.0192,153.2352,154.4523,3827965,3827965,1.0087,0.657,154.4259,"Feb 27, 14",0.011354238490082779
2014-02-28,154.544,155.161,153.1018,154.369,4668452,4668452,-0.083368,-0.054,154.427,"Feb 28, 14",0.010808789778304241
2014-03-03,152.835,153.9271,152.4099,153.6103,3950114,3950114,-0.75863,-0.491,152.2285,"Mar 3, 14",0.005840819338612307
2014-03-04,154.9025,156.028,154.7941,155.4277,4734235,4734235,1.8174,1.183,155.5478,"Mar 4, 14",0.017741161340847744
2014-03-05,155.5361,156.6866,155.3944,156.0113,3487359,3487359,0.583564,0.375,156.1008,"Mar 5, 14",0.02156257632516867
2014-03-06,156.203,157.0534,155.8112,156.4281,3817529,3817529,0.416828,0.267,156.687,"Mar 6, 14",0.024291784285183905
2014-03-07,157.02,157.4952,156.0446,156.4615,4117826,4117826,0.033348,0.021,156.7887,"Mar 7, 14",0.02451048761019473
2014-03-10,156.3531,157.0367,154.935,155.386,4594054,4594054,-1.0754,-0.687,155.6692,"Mar 10, 14",0.017468109584771414
2014-03-11,156.2364,157.1034,155.0943,155.6945,4229679,4229679,0.308452,0.199,155.9685,"Mar 11, 14",0.01948816873943729
2014-03-12,155.0693,156.2697,154.9692,155.2443,4833158,4833158,-0.450179,-0.289,155.4319,"Mar 12, 14",0.01654025745441123
2014-03-13,155.4027,155.8946,153.1518,153.3102,4913208,4913208,-1.9341,-1.246,144.2868,"Mar 13, 14",0.0038757634153864314
2014-03-14,153.3019,153.6354,151.9013,151.9013,5490326,5490326,-1.4089,-0.919,152.6322,"Mar 14, 14",-0.0053497190578994614
2014-03-17,152.2765,155.3527,152.2765,154.9025,4938754,4938754,3.0012,1.976,154.6025,"Mar 17, 14",0.014302149775108838
2014-03-18,155.0526,156.6449,154.6774,155.7362,3961319,3961319,0.833658,0.538,155.9465,"Mar 18, 14",0.01976122049551362
